,NomdelGrup,Estil,Poblacio,URLvideoYoutube
0,NON JAMBI,pop / pop metafísic,granollers (Vallès Oriental),None
1,Júlia Diaz,Música d'autor d'estil variat,Sant Martí Sarroca (Alt Penedès),None
2,Gasela,Electrònica,Santa Maria de Palautordera (Vallès Oriental),https://www.youtube.com/watch?v=bsDGbbDn5Zc
3,Kirias,Pop,Alella (Maresme),None
4,Malas Lenguas,Rumba fusió,Barcelona i Vilanova i la Geltrú (Barcelonès),None
5,Silencinu,Cançó d'autor,Campos (Migjorn),None
6,Foss,"indie, folk, electrònica, pop",Barcelona (Barcelonès),None
7,Atretz,Pop-fusió,"Terrassa, Sabadell i Matadepera (Vallès Occidental)",https://www.youtube.com/watch?v=Ful6rnVriJk
8,Bona Ventura,Disco i pop,Distints punts de Mallorca (Pla de Mallorca),https://www.youtube.com/watch?v=X7irRHlV8WA
9,Pol Pla,pop/rock/reagge,Vilassar de Mar (Maresme),https://www.youtube.com/watch?v=53Swmstsmmc&t=74s
10,Susannes,cantautora folk/punk,Valls (Alt Camp),https://www.youtube.com/watch?v=ztdRd3nM4AI
11,Robin'Secret,"Indie-Pop amb influències de folk, rock i rumba catalana",Barcelona (Barcelonès),None
12,ATINA,Pop elèctronic,Solsona i Cardona (Solsonès),https://www.youtube.com/watch?v=BzAM8S4Nhtc
13,PROJECTE MAU,FOLC-ROCK,Sarrià de TEr (Gironès),None
14,Sempre Amunt,Pop / musica d'Autor / Rumba,Barcelona (Barcelonès),https://www.youtube.com/watch?v=5a6wD4xYc3Q
15,Adrià Carrasco,Pop/Rock català,GIRONA (Gironès),None
16,Metacrani,Heavy Metal,Barcelona (Barcelonès),None
17,Opció 2,Rock - Country - Folk - Pop Acústic,Barcelona (Barcelonès),None
18,Ninot Salat,Pop Rock,Centelles (Osona),https://www.youtube.com/watch?v=zrebA4nqVjI&t=56s
19,Nicòmac,Rock Simfònic,Badalona (Barcelonès),https://www.youtube.com/watch?v=KySsoFsZCVk
20,Sin Noticias de Alicia,Pop Rock,Sabadell (Barcelonès),https://www.youtube.com/watch?v=Pl5NzlysRXQ&ab_channel=SinnoticiasdeAlicia
21,EL CANTAUTORET,Autor/Pop Rock,Sueca (Ribera Baixa),https://www.youtube.com/watch?v=CJnLQifzUY4
22,Andreu Songs,Pop,Lleida (Segrià),None
23,Ses Bísties de Mongofre,Folk amb tocs de Rumba i Rap,Menorca (Menorca),https://www.youtube.com/watch?v=2xr8AGJJjso&ab_channel=Sesb%C3%ADstiesdeMongofre
24,DONEIL,pop-rock electrònic,Olot (Garrotxa),https://www.youtube.com/watch?v=tSA6aRF8fQ8
25,Marina Freixas,Cantautora,Igualada (Anoia),https://www.youtube.com/watch?v=qOJSkGbspFw
26,LA BANDA,Rock,Riudellots de la selva (Selva),None
27,Saragata,Pop-rock,Brunyola (Selva),None
28,Maria Bernat Pérez,pop romàntic i alegre,Mallorca-Lllubí (Pla de Mallorca),https://www.youtube.com/channel/UCOr1lYU5obo-inQfr-A_hew
29,Maria Dolors,Rock,Lloret de Mar (Selva),https://www.youtube.com/watch?v=S_0ZbkuRgaI&t=83s&ab_channel=MariaDolors
30,Pommier,pop electrònic,Barcelona (Barcelonès),https://www.youtube.com/watch?v=AkS8Naj8K2Q
31,Silah Sirius,Reggae,Bonastre (Baix Penedès),https://www.youtube.com/watch?v=CizGhYfBbE8
32,CALA JOIA,Folk-pop,Maó (Menorca),https://www.youtube.com/watch?v=M_uhXqRnlLw
33,Xavier Mata,Hip hop,Barcelona (Barcelonès),https://www.youtube.com/watch?v=WGFBSridWmA
34,Lal'Ba,Urbà/Fusió,Olesa de Montserrat (Baix Llobregat),https://www.youtube.com/watch?v=g6iq38Ql8A0
35,Visitants,"Rock, pop, acústic",Terrassa (Vallès Occidental),https://www.youtube.com/watch?v=t3c_NSES6Jg
36,The Sappys,Rock Alternatiu,Terrassa / Matadepera (Vallès Occidental),https://www.youtube.com/watch?v=mx3fx7t6qfk
37,Geri,Trap,Les Planes d'Hostoles (Garrotxa),https://www.youtube.com/watch?v=pgC7ByziIyQ
38,Mar Grimalt,Cantautora,Felanitx (Migjorn),https://www.youtube.com/watch?v=EJTZjeM8XW8
39,Inic,Rock,Igualada (Anoia),None
40,Max Palou,"Cantautor, pop-rock",Barcelona (Barcelonès),None
