,NomdelGrup,Estil,Poblacio,URLvideoYoutube,lat,lon,Region,Nom_Estil,NumRegio
0,OnzePM,Indie Rock,Barcelona (Barcelonès),https://www.youtube.com/watch?v=CUrkACOfjsA,41.386966072591434,2.1780443443148254,Catalunya,OnzePM: Indie Rock,1
1,Bouzouki dance BETA,Pink punk,Barcelona (Barcelonès),https://www.youtube.com/watch?v=_dwc3N0hINI,41.383070056732315,2.179365652782723,Catalunya,Bouzouki dance BETA: Pink punk,1
2,Enric EZ,"Cantautor, mediterrani, pop, àfrica, jazz, soul. Life music",Santa Maria de Palautordera (Vallès Oriental),https://www.youtube.com/watch?v=kTx481xGTSc,41.69471571720806,2.4474583680013944,Catalunya,"Enric EZ: Cantautor, mediterrani, pop, àfrica, jazz, soul. Life music",1
3,GUILLOLA,pop/rock alternatiu,Figueres (Alt Empordà),https://www.youtube.com/watch?v=DJ_HFjwytts,42.26921487867961,2.964103646299858,Catalunya,GUILLOLA: pop/rock alternatiu,1
4,Lia Sampai,Cançó d'autor,Cerdanyola del Vallès (Vallès Occidental),https://www.youtube.com/watch?v=k8g-IfdFgBc,41.4933150010175,2.141836582520353,Catalunya,Lia Sampai: Cançó d'autor,1
5,Sempre Amunt,Pop / musica d'Autor / Rumba,Barcelona (Barcelonès),https://www.youtube.com/watch?v=2XOwSCiD-2U,41.38982231837759,2.178172968006805,Catalunya,Sempre Amunt: Pop / musica d'Autor / Rumba,1
6,Les Buch,Punk rock,Terrassa (Vallès Occidental),https://www.youtube.com/watch?v=9vQNi8v4OWg,41.57286721583525,2.0149842831220113,Catalunya,Les Buch: Punk rock,1
7,David Ràfols,Pop-Rock,Vilafranca del Penedès  (Alt Penedès),https://www.youtube.com/watch?v=QBYu3FFhzIk,41.35030348489492,1.7041181542183022,Catalunya,David Ràfols: Pop-Rock,1
8,LEGENDARI,Folk rock,Palau Solità i Plegamans (Vallès Occidental),https://www.youtube.com/watch?v=6QFIM-iqUWg,41.59175500645541,2.18524178441654,Catalunya,LEGENDARI: Folk rock,1
9,Eva González Menal,"personal: soul, indie, acústic, música medicina, instrumental, experimental... amb ganes sempre de provar nous sons i instruments.",Ripollet (Barcelonès),https://www.youtube.com/watch?v=yYk-HQwTB6k,41.50875260861666,2.1623597511374575,Catalunya,"Eva González Menal: personal: soul, indie, acústic, música medicina, instrumental, experimental... amb ganes sempre de provar nous sons i instruments.",1
10,Sequoia,Indie Folk,Barcelona (Barcelonès),https://www.youtube.com/watch?v=WMBkkqmG4QA,41.38898817090751,2.1858197761043043,Catalunya,Sequoia: Indie Folk,1
