,Unnamed: 0,NomdelGrup,Estil,Poblacio,URLvideoYoutube,lat,lon,Region,Nom_Estil,NumRegio
0,0,Abril & Sambola,"Pop d’autor, folk, soul",(Barcelonès),None,41.41592907185084,2.1645913209054433,Catalunya,"Abril & Sambola: Pop d’autor, folk, soul",1
1,1,Oxitocina,World Music,Terrassa (Vallès Occidental),None,41.56570920494685,2.0165472797775714,Catalunya,Oxitocina: World Music,1
2,2,Figaflow,"pop, electrònica, folk",Santpedor (Bages),None,41.78953011701084,1.8481028824746546,Catalunya,"Figaflow: pop, electrònica, folk",1
3,3,E.M.P.E.,Bedroom Pop,(Vallès Oriental),None,41.6581687241243,2.332007189491185,Catalunya,E.M.P.E.: Bedroom Pop,1
4,4,Reïna,Pop,Manacor (Llevant),None,39.57054455430228,3.214360280619559, Llevant,Reïna: Pop,0
5,5,Joan Delapse,Acústic,Granollers (Vallès Oriental),None,41.611404421269654,2.28949589188387,Catalunya,Joan Delapse: Acústic,1
6,6,LA MODEL,Indie Pop,Barcelona (Barcelonès),None,41.383210388512595,2.181800546777595,Catalunya,LA MODEL: Indie Pop,1
7,7,J del Fosc,Cantautor,Barcelona (Barcelonès),None,41.38400409178923,2.1821297890099105,Catalunya,J del Fosc: Cantautor,1
8,8,Joan Blau,Cançó d'autor,Balaguer (Noguera),None,41.793446153375186,0.8101574052527013,Catalunya,Joan Blau: Cançó d'autor,1
9,9,Estiula,Pop-rock,Ripol (Ripollès),https://www.youtube.com/watch?v=yuWuTRi2OMk,40.04648385813913,-1.0851163683607254,Comunitat Valenciana,Estiula: Pop-rock,2
10,10,Bataille,Cançó d´autor,Alaró (Mallorca)  (Raiguer),None,39.71164258931276,2.798047631851139,Illes Balears,Bataille: Cançó d´autor,3
11,11,paunezz,Pop Folk / Electrònica,Igualada (Anoia),None,41.58130041701771,1.619259502269821,Catalunya,paunezz: Pop Folk / Electrònica,1
12,12,Impaktats,Rap electrònic,Botarell / Les Borges del Camp (Baix Camp),https://www.youtube.com/watch?v=uNWPliAIbwg,41.17484080561003,1.0149317903985324,Catalunya,Impaktats: Rap electrònic,1
13,13,Jamaleònics,Mestissatge,Sagunt (Camp de Morvedre),https://www.youtube.com/watch?v=KGr0vCKV-ek,39.684931624822454,-0.27240022279378445,Comunitat Valenciana,Jamaleònics: Mestissatge,2
14,14,Plombiers,Indie-Pop,Reus (Baix Camp),None,41.155951658921595,1.1122468212649328,Catalunya,Plombiers: Indie-Pop,1
15,15,Maria Dolors,Rock,Lloret de Mar (Selva),https://www.youtube.com/watch?v=JqUPWRdaU0c,41.70498722285832,2.8490142675285917,Catalunya,Maria Dolors: Rock,1
16,16,Escarràs,"Mestissatge, ska-fusió",Mallorca (Pla de Mallorca),None,39.6191815343606,2.884518395220353, Pla de Mallorca,"Escarràs: Mestissatge, ska-fusió",0
17,17,ÒRBITES,indie rock,València (Horta Oest),None,39.47362722640075,-0.36659836353691094,Comunitat Valenciana,ÒRBITES: indie rock,2
18,18,Zèfir,Indie Pop,El Vendrell (Baix Penedès),https://www.youtube.com/watch?v=kUAG2zaMbQI,41.226234635322974,1.5392447691263647,Catalunya,Zèfir: Indie Pop,1
19,19,Irieix,Pop contemporani,granollers (Vallès Oriental),https://www.youtube.com/watch?v=7_1-fEEK90o ,41.61580338236219,2.2891768755969633,Catalunya,Irieix: Pop contemporani,1
20,20,NINOT,Synth-pop,Sitges (Garraf),https://www.youtube.com/watch?v=c43kNX5r-4M,41.24573072358383,1.8246513621129707,Catalunya,NINOT: Synth-pop,1
21,21,Ingrid,Pop-folk,Vilanova i la Geltrú (Garraf),None,41.23391772294122,1.7277454134317791,Catalunya,Ingrid: Pop-folk,1
22,22,QANARUSA,FOLK MALLORQUÍ,SENCELLES (Pla de Mallorca),https://www.youtube.com/watch?v=9N8WVukrK_E&t=9s,39.65043209336288,2.8977994899806374, Pla de Mallorca,QANARUSA: FOLK MALLORQUÍ,0
23,23,Palmira,Pop Rock,Barcelona (Barcelonès),None,41.390385553890944,2.1863806244566955,Catalunya,Palmira: Pop Rock,1
24,24,Stela Nur,Cançó d'autor,Portbou (Alt Empordà),None,42.435429789481105,3.167534005109268,Catalunya,Stela Nur: Cançó d'autor,1
25,25,Aina Palà,Pop,Sant Salvador de Guardiola (Bages),None,41.68479967215229,1.7698863453375913,Catalunya,Aina Palà: Pop,1
26,26,Laura Centellas,Cançó d'autor / Pop melòdic,Vic (Osona),https://www.youtube.com/channel/UCJkGuWDz2lRbWkeAVRY1veA,41.93340425732231,2.2568852753153745,Catalunya,Laura Centellas: Cançó d'autor / Pop melòdic,1
27,27,Lluna Plena,Pop-rock,Igualada (Anoia),None,41.58547636705471,1.6237306567062744,Catalunya,Lluna Plena: Pop-rock,1
28,28,Susannes,cantautora rural,Valls (Alt Camp),https://www.youtube.com/watch?v=D2e9CNgXNC8,41.290904684233894,1.255677922720977,Catalunya,Susannes: cantautora rural,1
29,29,Golíat,Post-tot,Granollers (Vallès Oriental),https://www.youtube.com/watch?v=IAroiXy1MC4,41.61098071937642,2.2934273172161563,Catalunya,Golíat: Post-tot,1
30,30,Cop de Gràcia,Thrash Metal,Girona (Gironès),None,41.985435471753185,2.8274267870411336,Catalunya,Cop de Gràcia: Thrash Metal,1
31,31,La mangrana,"Punk, Garage, postpunk, Ebrenc",Deltebre (Baix Ebre),https://www.youtube.com/watch?v=i4pMSn39dIw,40.72850701187364,0.734335077876058,Catalunya,"La mangrana: Punk, Garage, postpunk, Ebrenc",1
