,Unnamed: 0,Unnamed: 0.1,NomdelGrup,Estil,Poblacio,URLvideoYoutube,lat,lon,Region,Nom_Estil,NumRegio,yearDownload
0,0,0,Abril & Sambola,"Pop d’autor, folk, soul",(Barcelonès),None,41.41517741567499,2.1631339276553447,Catalunya,"Abril & Sambola: Pop d’autor, folk, soul",1.0,2020
1,1,1,Oxitocina,World Music,Terrassa (Vallès Occidental),None,41.565043201062714,2.014363740483192,Catalunya,Oxitocina: World Music,1.0,2020
2,2,2,Figaflow,"pop, electrònica, folk",Santpedor (Bages),None,41.79056318268986,1.847297186016373,Catalunya,"Figaflow: pop, electrònica, folk",1.0,2020
3,3,3,E.M.P.E.,Bedroom Pop,(Vallès Oriental),None,41.649969301502814,2.3357818815927986,Catalunya,E.M.P.E.: Bedroom Pop,1.0,2020
4,4,4,Reïna,Pop,Manacor (Llevant),None,39.57449270211611,3.2191070273651134,Illes Balears,Reïna: Pop,3.0,2020
5,5,5,Joan Delapse,Acústic,Granollers (Vallès Oriental),None,41.609555336385185,2.290377761781736,Catalunya,Joan Delapse: Acústic,1.0,2020
6,6,6,LA MODEL,Indie Pop,Barcelona (Barcelonès),None,41.38449233556905,2.1778865475606697,Catalunya,LA MODEL: Indie Pop,1.0,2020
7,7,7,J del Fosc,Cantautor,Barcelona (Barcelonès),None,41.38913907524681,2.183736831164546,Catalunya,J del Fosc: Cantautor,1.0,2020
8,8,8,Joan Blau,Cançó d'autor,Balaguer (Noguera),None,41.7962847024451,0.8088617109830546,Catalunya,Joan Blau: Cançó d'autor,1.0,2020
9,9,9,Estiula,Pop-rock,Ripol (Ripollès),https://www.youtube.com/watch?v=yuWuTRi2OMk,42.19639,2.30334,Comunitat Valenciana,Estiula: Pop-rock,2.0,2020
10,10,10,Bataille,Cançó d´autor,Alaró (Mallorca)  (Raiguer),None,39.713963470770324,2.795971401314002,Illes Balears,Bataille: Cançó d´autor,3.0,2020
11,11,11,paunezz,Pop Folk / Electrònica,Igualada (Anoia),None,41.58017381294585,1.6240712445447776,Catalunya,paunezz: Pop Folk / Electrònica,1.0,2020
12,12,12,Impaktats,Rap electrònic,Botarell / Les Borges del Camp (Baix Camp),https://www.youtube.com/watch?v=uNWPliAIbwg,41.171861095020006,1.0206217563629665,Catalunya,Impaktats: Rap electrònic,1.0,2020
13,13,13,Jamaleònics,Mestissatge,Sagunt (Camp de Morvedre),https://www.youtube.com/watch?v=KGr0vCKV-ek,39.68860602009549,-0.26879149074399683,Comunitat Valenciana,Jamaleònics: Mestissatge,2.0,2020
14,14,14,Plombiers,Indie-Pop,Reus (Baix Camp),None,41.15669562402629,1.116424037219704,Catalunya,Plombiers: Indie-Pop,1.0,2020
15,15,15,Maria Dolors,Rock,Lloret de Mar (Selva),https://www.youtube.com/watch?v=JqUPWRdaU0c,41.704944881682636,2.8404246036131635,Catalunya,Maria Dolors: Rock,1.0,2020
16,16,16,Escarràs,"Mestissatge, ska-fusió",Mallorca (Pla de Mallorca),None,39.62220757448762,2.8810081583631875,Illes Balears,"Escarràs: Mestissatge, ska-fusió",3.0,2020
17,17,17,ÒRBITES,indie rock,València (Horta Oest),None,39.47038600385279,-0.3748926675621369,Comunitat Valenciana,ÒRBITES: indie rock,2.0,2020
18,18,18,Zèfir,Indie Pop,El Vendrell (Baix Penedès),https://www.youtube.com/watch?v=kUAG2zaMbQI,41.22714004404306,1.5392094133197167,Catalunya,Zèfir: Indie Pop,1.0,2020
19,19,19,Irieix,Pop contemporani,granollers (Vallès Oriental),https://www.youtube.com/watch?v=7_1-fEEK90o ,41.60832410844401,2.29074487931976,Catalunya,Irieix: Pop contemporani,1.0,2020
20,20,20,NINOT,Synth-pop,Sitges (Garraf),https://www.youtube.com/watch?v=c43kNX5r-4M,41.23808812589896,1.8284729047054649,Catalunya,NINOT: Synth-pop,1.0,2020
21,21,21,Ingrid,Pop-folk,Vilanova i la Geltrú (Garraf),None,41.22655643603918,1.734578705851733,Catalunya,Ingrid: Pop-folk,1.0,2020
22,22,22,QANARUSA,FOLK MALLORQUÍ,SENCELLES (Pla de Mallorca),https://www.youtube.com/watch?v=9N8WVukrK_E&t=9s,39.65655021457335,2.904469351802095,Illes Balears,QANARUSA: FOLK MALLORQUÍ,3.0,2020
23,23,23,Palmira,Pop Rock,Barcelona (Barcelonès),http://youtube.com/watch?v=oG32pvS2PCI,41.2,2.2,Catalunya,Palmira: Pop Rock,1.0,2020
24,24,24,Stela Nur,Cançó d'autor,Portbou (Alt Empordà),None,42.43291298503375,3.1606177933016286,Catalunya,Stela Nur: Cançó d'autor,1.0,2020
25,25,25,Aina Palà,Pop,Sant Salvador de Guardiola (Bages),None,41.682204074860095,1.768709082331761,Catalunya,Aina Palà: Pop,1.0,2020
26,26,26,Laura Centellas,Cançó d'autor / Pop melòdic,Vic (Osona),https://www.youtube.com/channel/UCJkGuWDz2lRbWkeAVRY1veA,41.93435843460185,2.2573402271769716,Catalunya,Laura Centellas: Cançó d'autor / Pop melòdic,1.0,2020
27,27,27,Lluna Plena,Pop-rock,Igualada (Anoia),https://youtu.be/bxksKGbewis,41.582088698595655,1.6221277039717512,Catalunya,Lluna Plena: Pop-rock,1.0,2020
28,28,28,Susannes,cantautora rural,Valls (Alt Camp),https://www.youtube.com/watch?v=D2e9CNgXNC8,41.28814028465764,1.253201199701051,Catalunya,Susannes: cantautora rural,1.0,2020
29,29,29,Golíat,Post-tot,Granollers (Vallès Oriental),https://www.youtube.com/watch?v=IAroiXy1MC4,41.61464299507338,2.2883017717838396,Catalunya,Golíat: Post-tot,1.0,2020
30,30,30,Cop de Gràcia,Thrash Metal,Girona (Gironès),None,41.980282816691506,2.8236434177430385,Catalunya,Cop de Gràcia: Thrash Metal,1.0,2020
31,31,31,La mangrana,"Punk, Garage, postpunk, Ebrenc",Deltebre (Baix Ebre),https://www.youtube.com/watch?v=i4pMSn39dIw,40.72697075137162,0.7294811201784801,Catalunya,"La mangrana: Punk, Garage, postpunk, Ebrenc",1.0,2020
32,32,32,Metacrani,Heavy Metal,Barcelona i comarques (Barcelonès),None,41.38665132269005,2.180415099372049,Catalunya,Metacrani: Heavy Metal,1.0,2020
33,33,33,Aeroperro,Indie,Esplugues de Llobregat (Baix Llobregat),https://www.youtube.com/watch?v=9oREBh9iI8s,41.38202856128434,2.0975730291319605,Catalunya,Aeroperro: Indie,1.0,2020
34,34,34,L'enemic,Pop/Rock,Manlleu (Osona),https://www.youtube.com/watch?v=1BIqSzgE13w,42.002394799687856,2.2862683274108093,Catalunya,L'enemic: Pop/Rock,1.0,2020
35,35,35,Paupiripau,Sí,Parlavà (Baix Empordà),https://www.youtube.com/watch?v=E2NwZtvqbRg,42.025894361654814,3.0321743373995016,Catalunya,Paupiripau: Sí,1.0,2020
36,36,36,Bona Ventura,Disco-Pop,"Pina, Santa Maria del Camí, Esporles i Son Serra de Marina (Pla de Mallorca)",https://youtu.be/JO_fDelmWfk,39.69,2.78,Comunitat Valenciana,Bona Ventura: Disco-Pop,2.0,2020
37,37,37,Lles,indie-pop,Collbató (Baix Llobregat),None,41.573850288597406,1.830645254224269,Catalunya,Lles: indie-pop,1.0,2020
38,38,38,MIOPS,Pop-Rock,Moià (Moianès) (Bages),https://www.youtube.com/watch?v=LSkw6mgz-CQ&feature=youtu.be,41.813832722069094,2.1035897470907794,Catalunya,MIOPS: Pop-Rock,1.0,2020
39,39,39,Lxs Duendes del Parque,Cansautores incendiàries,Arbúcies (Selva),https://www.youtube.com/watch?v=ru9ho_lg_RE,41.82244662860301,2.5172293507989805,Catalunya,Lxs Duendes del Parque: Cansautores incendiàries,1.0,2020
40,40,40,Miquel Gomà,rock,Sabadell (Vallès Occidental),https://www.youtube.com/watch?v=mj6zl_obrLQ,41.54438548636952,2.1229631883204583,Catalunya,Miquel Gomà: rock,1.0,2020
41,41,41,Som Guineus,Rock català,Badalona (Barcelonès),https://www.youtube.com/watch?v=0WlJLixTkf8,41.44987573574996,2.2488033356496158,Catalunya,Som Guineus: Rock català,1.0,2020
42,42,42,Rels,Rock,Eivissa (Eivissa),None,38.97751657337458,1.419813684233773,Illes Balears,Rels: Rock,3.0,2020
43,43,43,Microhomes,Pop-electrònic,Barcelona (Barcelonès),https://www.youtube.com/watch?v=mmDfUts4jik,41.38886322721905,2.180637023344973,Catalunya,Microhomes: Pop-electrònic,1.0,2020
44,44,44,Falcon & Firkin,Pop,Manresa (Bages),https://www.youtube.com/watch?v=T4V6L86JQz4,41.73658122376979,1.8305983103362595,Catalunya,Falcon & Firkin: Pop,1.0,2020
45,45,45,Verlaat,Pop,Maó (Menorca),https://www.youtube.com/watch?v=FWShLqf2yPM&feature=youtu.be,39.8953881752727,4.266353853416821,Illes Balears,Verlaat: Pop,3.0,2020
